"RESPNO";"withinwt_ea";"URBRUR";"REGION";"EA_SVC_A";"EA_SVC_B";"EA_FAC_B";"EA_ROAD_C";"THISINT";"ADULT_CT";"CALLS";"Q1";"Q2";"Q46F";"Q46G";"Q46H";"Q46I";"Q57A";"Q57B";"Q58A";"Q58C";"Q90D";"Q90F";"Q90G";"Q91C";"Q92A";"Q94";"LENGTH";"Q101";"Q102";"Q103"
"CDI0342";0.828303862926568;"Urbain";"GUEMON";"Oui";"Non";"Oui";"Mauvaise";"Femme";"1";"1";"30";"Français";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Plutôt bien";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Pas d’enseignement formel";106;"Femme";"Noir / Africain";"Français"
"CDI0707";0.952962814622802;"Rural";"GÔH";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"3";"1";"32";"Français";"Plutôt mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";70;"Femme";"Noir / Africain";"Français"
"CDI1082";0.814628126505128;"Urbain";"GRAND-PONTS";"Non";"Non";"Oui";"Très mauvaise";"Homme";"5";"1";"32";"Sénoufo";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement primaire achevé";91;"Homme";"Noir / Africain";"Français"
"CDI0733";1.05873989009456;"Rural";"GONTOUGO";"Oui";"Non";"Oui";"Passable";"Femme";"4";"1";"19";"Koulango";"Plutôt mal";"Plutôt mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, hors de la concession";"Oui";"Enseignement primaire inachevé";81;"Femme";"Noir / Africain";"Français"
"CDI0794";1.3671558541582;"Urbain";"SAN-PEDRO";"Oui";"Oui";"Oui";"Bonne";"Homme";"9";"1";"19";"Malinké / Dioula";"Plutôt bien";"Très bien";"Plutôt bien";"Très bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement informel seulement  (y compris enseignement coranique )";80;"Homme";"Noir / Africain";"Malinké / Dioula"
"CDI1023";1.09370269679888;"Rural";"MARAHOUE";"Non";"Non";"Oui";"Passable";"Femme";"5";"1";"25";"Gouro";"Très mal";"Plutôt mal";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Pas d’enseignement formel";62;"Femme";"Noir / Africain";"Français"
"CDI0031";1.05150111559874;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"5";"1";"21";"Malinké / Dioula";"Plutôt bien";"Très bien";"Très mal";"Très mal";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement informel seulement  (y compris enseignement coranique )";96;"Homme";"Noir / Africain";"Français"
"CDI1191";0.965982729911639;"Rural";"TONKPI";"Oui";"Non";"Oui";"Passable";"Homme";"4";"1";"62";"Yacouba";"Très mal";"Plutôt bien";"Très bien";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement primaire achevé";70;"Homme";"Noir / Africain";"Français"
"CDI0700";1.15717252022806;"Rural";"GBEKE";"Non";"Non";"Oui";"Mauvaise";"Homme";"2";"1";"42";"Baoulé";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement primaire inachevé";77;"Homme";"Noir / Africain";"Français"
"CDI0530";1.07143000630162;"Urbain";"GBEKE";"Oui";"Oui";"Oui";"Bonne";"Femme";"6";"1";"18";"Malinké / Dioula";"Très mal";"Plutôt bien";"Très mal";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";71;"Femme";"Noir / Africain";"Français"
"CDI0172";1.04970674509431;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"1";"1";"22";"Français";"Très mal";"Très bien";"Plutôt mal";"Plutôt bien";"Non";"Oui";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Qualifications post-secondaires autres qu’universitaires (certificat ou diplôme d'école polytechnique)";82;"Femme";"Noir / Africain";"Français"
"CDI1180";0.87801484983239;"Urbain";"GBEKE";"Oui";"Oui";"Oui";"Mauvaise";"Femme";"4";"1";"25";"Baoulé";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";73;"Femme";"Noir / Africain";"Français"
"CDI0890";1.35964340354334;"Rural";"TONKPI";"Oui";"Oui";"Oui";"Bonne";"Femme";"3";"1";"45";"Yacouba";"Très mal";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement primaire inachevé";89;"Femme";"Noir / Africain";"Français"
"CDI0513";1.08070953619751;"Rural";"NAWA";"Oui";"Non";"Oui";"Bonne";"Homme";"1";"1";"42";"Français";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";89;"Homme";"Noir / Africain";"Français"
"CDI0127";1.11789282426283;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Femme";"2";"1";"40";"Français";"Plutôt mal";"Très bien";"Plutôt mal";"Plutôt bien";"Non";"Oui";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";86;"Femme";"Noir / Africain";"Français"
"CDI1089";0.775295969496106;"Rural";"GBEKE";"Oui";"Non";"Oui";"Mauvaise";"Femme";"3";"1";"40";"Baoulé";"Plutôt mal";"Plutôt mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";59;"Femme";"Noir / Africain";"Français"
"CDI0551";1.24112336277389;"Urbain";"GÔH";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"2";"1";"67";"Français";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Université achevée";78;"Homme";"Noir / Africain";"Français"
"CDI0862";1.14086785404215;"Urbain";"MARAHOUE";"Oui";"Non";"Oui";"Passable";"Femme";"8";"1";"26";"Gouro";"Très mal";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";57;"Femme";"Noir / Africain";"Français"
"CDI0566";1.50606064171008;"Urbain";"HAUT-SASSANDRA";"Oui";"Oui";"Oui";"Passable";"Homme";"4";"1";"52";"Yacouba";"Très mal";"Plutôt bien";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";93;"Homme";"Noir / Africain";"Français"
"CDI0761";0.81628706804155;"Urbain";"HAUT-SASSANDRA";"Oui";"Non";"Oui";"Bonne";"Femme";"2";"1";"21";"Français";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Le vaccin peut causer d’autres effets secondaires indésirables";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";82;"Femme";"Noir / Africain";"Français"
"CDI0647";1.18898170197127;"Rural";"GONTOUGO";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"2";"1";"24";"Français";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Oui";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement primaire inachevé";74;"Homme";"Noir / Africain";"Français"
"CDI0049";1.05150111559874;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"1";"1";"20";"Français";"Très bien";"Très bien";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";138;"Femme";"Noir / Africain";"Français"
"CDI0986";0.931833920402714;"Urbain";"MORONOU";"Oui";"Oui";"Oui";"Bonne";"Femme";"5";"1";"31";"Français";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement primaire inachevé";71;"Femme";"Noir / Africain";"Français"
"CDI0735";1.05873989009456;"Rural";"GONTOUGO";"Oui";"Non";"Oui";"Passable";"Homme";"1";"1";"56";"Français";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Non, pas disponible";"Oui";"Enseignement secondaire / lycée inachevé";76;"Homme";"Noir / Africain";"Français"
"CDI0181";1.19235920019687;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"4";"1";"35";"Dida";"Très mal";"Très mal";"Très mal";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";121;"Homme";"Noir / Africain";"Français"
"CDI0583";1.24112336277389;"Urbain";"GÔH";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"3";"1";"40";"Baoulé";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire achevé";70;"Homme";"Noir / Africain";"Français"
"CDI0296";1.17227989337311;"Urbain";"BAGOUE";"Oui";"Oui";"Oui";"Bonne";"Femme";"4";"1";"46";"Sénoufo";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université inachevée";93;"Femme";"Noir / Africain";"Français"
"CDI0389";0.917205633994955;"Rural";"BOUNKANI";"Oui";"Non";"Oui";"Mauvaise";"Femme";"2";"1";"18";"Lobi";"Très mal";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Oui";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";100;"Femme";"Noir / Africain";"Français"
"CDI0393";0.917205633994955;"Rural";"BOUNKANI";"Oui";"Non";"Oui";"Mauvaise";"Femme";"3";"1";"22";"Français";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Non";"Oui";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";72;"Femme";"Noir / Africain";"Français"
"CDI0606";0.984641085060789;"Rural";"PORO";"Oui";"Non";"Oui";"Passable";"Homme";"4";"1";"43";"Sénoufo";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire inachevé";95;"Homme";"Noir / Africain";"Français"
"CDI0708";0.952962814622802;"Rural";"GÔH";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"2";"1";"25";"Autre";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée inachevé";74;"Homme";"Noir / Africain";"Français"
"CDI0487";0.513685708134407;"Rural";"SUD-COMOE";"Non";"Non";"Oui";"Très mauvaise";"Femme";"2";"1";"19";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Ne pas faire confiance à la source du vaccin/Attendra d’autres vaccins";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Non";"Pas d’enseignement formel";98;"Femme";"Noir / Africain";"Français"
"CDI0360";1.15689567921375;"Rural";"CAVALLY";"Oui";"Non";"Oui";"Passable";"Homme";"6";"1";"28";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";79;"Homme";"Noir / Africain";"Français"
"CDI0789";1.0051726932743;"Rural";"GONTOUGO";"Non";"Non";"Oui";"Passable";"Homme";"2";"1";"29";"Abron";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";59;"Homme";"Noir / Africain";"Français"
"CDI0839";0.96662590944836;"Rural";"BELIER";"Non";"Oui";"Oui";"Passable";"Homme";"4";"1";"30";"Baoulé";"Très bien";"Très bien";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";100;"Homme";"Noir / Africain";"Français"
"CDI0653";1.12533484696193;"Rural";"BERE";"Oui";"Non";"Oui";"Mauvaise";"Homme";"2";"1";"57";"Français";"Très mal";"Plutôt bien";"Très bien";"Plutôt bien";"Non";"Non";"Non";"Dieu me protègera";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";102;"Homme";"Noir / Africain";"Français"
"CDI0624";0.84652866156996;"Urbain";"GBEKE";"Oui";"Non";"Non";"Mauvaise";"Homme";"1";"1";"23";"Français";"Plutôt mal";"Plutôt mal";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Université achevée";97;"Homme";"Noir / Africain";"Français"
"CDI0375";1.15689567921375;"Rural";"CAVALLY";"Oui";"Non";"Oui";"Passable";"Femme";"2";"1";"26";"Yacouba";"Plutôt bien";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, hors de la concession";"Non";"Pas d’enseignement formel";75;"Femme";"Noir / Africain";"Français"
"CDI1075";0.775295969496106;"Rural";"GBEKE";"Oui";"Non";"Oui";"Mauvaise";"Homme";"5";"1";"34";"Baoulé";"Très bien";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée achevé";68;"Homme";"Noir / Africain";"Français"
"CDI1145";1.08214387801876;"Rural";"GBEKE";"Non";"Non";"Non";"Très mauvaise";"Homme";"3";"1";"25";"Baoulé";"Plutôt mal";"Plutôt mal";"Très mal";"Très mal";"Non";"Oui";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";79;"Homme";"Noir / Africain";"Français"
"CDI0897";1.29298619784467;"Rural";"PORO";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"2";"1";"20";"Sénoufo";"Très mal";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";70;"Femme";"Noir / Africain";"Français"
"CDI0870";0.96662590944836;"Rural";"BELIER";"Non";"Oui";"Oui";"Passable";"Homme";"9";"1";"42";"Baoulé";"Très mal";"Plutôt bien";"Très bien";"Très mal";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";101;"Homme";"Noir / Africain";"Français"
"CDI0892";1.30717563816896;"Rural";"LÔH-DJIBOUA";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"5";"1";"33";"Français";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";77;"Homme";"Noir / Africain";"Français"
"CDI0340";1.15689567921375;"Rural";"CAVALLY";"Oui";"Non";"Oui";"Passable";"Femme";"3";"1";"47";"Français";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Non, pas disponible";"Oui";"Pas d’enseignement formel";87;"Femme";"Noir / Africain";"Français"
"CDI1019";1.08896376150556;"Rural";"YAMOUSSOUKRO";"Non";"Non";"Oui";"Passable";"Femme";"1";"1";"70";"Baoulé";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Non, pas disponible";"Non";"Enseignement primaire achevé";105;"Femme";"Noir / Africain";"Français"
"CDI0715";1.10948067110132;"Rural";"BAFING";"Non";"Non";"Oui";"Passable";"Femme";"1";"1";"38";"Mahouka";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Pas d’enseignement formel";86;"Femme";"Noir / Africain";"Français"
"CDI0831";1.04168670561004;"Rural";"TONKPI";"Non";"Non";"Oui";"Bonne";"Homme";"1";"1";"67";"Yacouba";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement primaire inachevé";103;"Homme";"Noir / Africain";"Français"
"CDI0932";0.744046628179774;"Urbain";"BELIER";"Oui";"Oui";"Oui";"Bonne";"Femme";"2";"1";"38";"Français";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Le vaccin a été mis au point trop rapidement";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";95;"Femme";"Noir / Africain";"Français"
"CDI1099";0.95127876222688;"Urbain";"TONKPI";"Oui";"Oui";"Oui";"Très bonne";"Femme";"2";"1";"76";"Malinké / Dioula";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement informel seulement  (y compris enseignement coranique )";104;"Femme";"Noir / Africain";"Français"
"CDI1172";1.00051429692484;"Rural";"BELIER";"Non";"Non";"Oui";"Mauvaise";"Homme";"6";"1";"32";"Baoulé";"Plutôt mal";"Très mal";"Plutôt mal";"Plutôt bien";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Non, pas disponible";"Oui";"Enseignement secondaire / lycée inachevé";128;"Homme";"Noir / Africain";"Français"
"CDI0664";1.18898170197127;"Rural";"GONTOUGO";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"8";"1";"21";"Lobi";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";79;"Homme";"Noir / Africain";"Français"
"CDI0756";1.05873989009456;"Rural";"GONTOUGO";"Oui";"Non";"Oui";"Passable";"Homme";"7";"1";"27";"Koulango";"Plutôt bien";"Plutôt bien";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement primaire inachevé";79;"Homme";"Noir / Africain";"Français"
"CDI0293";1.04199266218763;"Urbain";"CAVALLY";"Non";"Non";"Non";"Mauvaise";"Femme";"5";"1";"37";"Guéré";"Très mal";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement primaire inachevé";104;"Femme";"Noir / Africain";"Français"
"CDI0355";1.15689567921375;"Rural";"CAVALLY";"Oui";"Non";"Oui";"Passable";"Homme";"2";"1";"39";"Yacouba";"Très mal";"Très mal";"Très mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement primaire inachevé";94;"Homme";"Noir / Africain";"Français"
"CDI1195";1.08209704734065;"Urbain";"HAMBOL";"Non";"Non";"Non";"Mauvaise";"Homme";"4";"1";"50";"Malinké / Dioula";"Très bien";"Plutôt bien";"Plutôt mal";"Très mal";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";129;"Homme";"Noir / Africain";"Français"
"CDI0177";1.04970674509431;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"2";"1";"65";"Abbey";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";90;"Homme";"Noir / Africain";"Français"
"CDI0195";1.19235920019687;"Urbain";"ABIDJAN";"Oui";"Non";"Oui";"Très mauvaise";"Homme";"7";"1";"20";"Français";"Très bien";"Très bien";"Très bien";"Très mal";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";96;"Homme";"Noir / Africain";"Français"
"CDI0753";1.06232496253948;"Rural";"SAN-PEDRO";"Non";"Non";"Oui";"Mauvaise";"Homme";"1";"1";"19";"Autre";"Très bien";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Je ne cours aucun risque ou risque faible de choper la COVID-19/Faible risque de contracter la COVID-19";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Enseignement secondaire / lycée inachevé";74;"Homme";"Noir / Africain";"Français"
"CDI1063";0.814628126505128;"Urbain";"GRAND-PONTS";"Non";"Non";"Oui";"Très mauvaise";"Homme";"3";"1";"37";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Non";"Pas d’enseignement formel";70;"Homme";"Noir / Africain";"Français"
"CDI0073";1.11789282426283;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très bonne";"Femme";"7";"1";"22";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";117;"Femme";"Noir / Africain";"Français"
